ShortHash	FullHash	Date	Message	origin/main
1a3a344	1a3a344ad130e66dfc9a525c41b581ab9990c55a	2025-05-17 17:20:59 +0900	mod button	●
2706862	270686240b118c9db0858adfbdae597615bcd38e	2025-05-17 17:20:00 +0900	mod button	●
01ea2cb	01ea2cb5131c03bac8ad17d8401c638fc9c9d9fa	2025-05-17 15:02:44 +0900	mod クイズ	●
9aed509	9aed509daed99389ac6ebfaadef5b9613ce8b2ad	2025-05-17 14:28:46 +0900	mod クイズ	●
1c8a207	1c8a2079f5bb6047708e926a7c340e7a8d8efc0a	2025-05-17 03:22:08 +0900	mod readme.md	●
99c8c18	99c8c18b97fbeaaca1a004b0522b77243a405e60	2025-05-16 23:04:54 +0900	mod クイズ	●
9c03584	9c03584e6e35ed68bcdd0ba344b2dc02d8628321	2025-05-16 22:21:05 +0900	mod クイズで次へモード追加	●
bf92a84	bf92a84649e0c5af285b1155a00cf68c001519a2	2025-05-16 22:16:57 +0900	mod レイアウト	●
8dcb00d	8dcb00d05120715d5ffa813fe2fc1dfbdf5520cc	2025-05-16 21:49:48 +0900	漢字の初期表示時のランダム表示をjsonレベルにして	●
9e85c29	9e85c297c4ce0a56a39d3fd098f80e0d6c6b1188	2025-05-16 21:44:01 +0900	mod レイアウト	●
ce81be5	ce81be52da5c27034cc0b9b5a03fde6da9541ef2	2025-05-16 21:41:00 +0900	mod レイアウト	●
4845c19	4845c19a3d79f5d54f17ec44d9820c2b4066b8dc	2025-05-16 21:26:22 +0900	mod ヨミ追加	●
3d7d7cb	3d7d7cb6db664981957004cf72dee276c9f49c8b	2025-05-16 20:25:15 +0900	mod 配置	●
adce400	adce4006d3e162c411c31e998e93247908019311	2025-05-16 20:18:52 +0900	mod 漢字選択の色	●
8d991fc	8d991fce3521ea64bf78e7e3eb342d66ee36d917	2025-05-16 02:05:09 +0900	軍事例追加、対応	●
64b93a6	64b93a6521811c8e2987a6c0287bfcd68ee37d9b	2025-05-16 02:02:43 +0900	軍事例追加、対応	●
bc3dede	bc3dede45d8466dcded727b091e3b0e9d5661b21	2025-05-16 01:46:56 +0900	用例追加	●
09b2d8c	09b2d8cf0667f826ed62020b92a58c8a36ee3865	2025-05-16 01:15:15 +0900	mod readme.md	●
39cb097	39cb0975bd7dde2fcf904932882e784272fcfee9	2025-05-16 01:13:45 +0900	検索のひらがな・カタカナの別をなくした	●
d7f63e4	d7f63e49f716664ad75eb70fa26c8545931c2ad4	2025-05-16 01:07:34 +0900	first	●
